Date,Open,High,Low,Close,Adj Close,Volume
2005-11-14,2.197857,2.213571,2.175357,2.194643,1.887180,369933200
2005-11-15,2.200000,2.252857,2.195000,2.224286,1.912670,536841200
2005-11-16,2.255357,2.323571,2.253214,2.319643,1.994667,784515200
2005-11-17,2.342500,2.352857,2.294643,2.304286,1.981462,676205600
2005-11-18,2.332500,2.336786,2.298929,2.305714,1.982690,524960800
2005-11-21,2.315000,2.328214,2.275714,2.320000,1.994974,511711200
2005-11-22,2.315714,2.384286,2.304286,2.375714,2.042883,540282400
2005-11-23,2.388571,2.427857,2.381786,2.396786,2.061004,485853200
2005-11-25,2.416429,2.483571,2.410714,2.476429,2.129488,395012800
2005-11-28,2.525714,2.538214,2.466786,2.487857,2.139315,1018519600
2005-11-29,2.499643,2.510714,2.405357,2.432143,2.091406,891433200
2005-11-30,2.443929,2.458929,2.411429,2.422143,2.082808,595674800
2005-12-01,2.462500,2.561786,2.457500,2.557143,2.198895,812893200
2005-12-02,2.581071,2.597857,2.525000,2.593929,2.230526,895762000
2005-12-05,2.569643,2.590357,2.553214,2.565000,2.205651,583671200
2005-12-06,2.640357,2.672500,2.619643,2.644643,2.274137,857029600
2005-12-07,2.651071,2.659286,2.611429,2.641071,2.271065,679464800
2005-12-08,2.614286,2.648929,2.592857,2.645714,2.275057,790479200
2005-12-09,2.650357,2.663929,2.619643,2.654643,2.282735,555402400
2005-12-12,2.673929,2.691071,2.662857,2.675357,2.300547,524994400
2005-12-13,2.673214,2.695000,2.650357,2.677857,2.302697,493816400
2005-12-14,2.590357,2.617857,2.509643,2.571786,2.211486,1450716400
2005-12-15,2.595714,2.602143,2.548214,2.577857,2.216707,561162000
2005-12-16,2.576429,2.582143,2.537857,2.539643,2.183846,671171200
2005-12-19,2.539643,2.592857,2.537143,2.549286,2.192138,529295200
2005-12-20,2.558214,2.585000,2.540000,2.575357,2.214558,479108000
2005-12-21,2.592857,2.628929,2.590714,2.625000,2.257245,475736800
